State	p_0_k_original_tweets (EAs)	p_1_k_original_tweets (EAs)	p_2_k_original_tweets (EAs)	p_0_k_retweets (EAs)	p_1_k_retweets (EAs)	p_2_k_retweets (EAs)	p_0_k_quoted_tweets (EAs)	p_1_k_quoted_tweets (EAs)	p_2_k_quoted_tweets (EAs)	p_0_k_replies (EAs)	p_1_k_replies (EAs)	p_2_k_replies (EAs)	p_0_k_total_tweets (EAs)	p_1_k_total_tweets (EAs)	p_2_k_total_tweets (EAs)	p_0_k_users (EAs)	p_1_k_users (EAs)	p_2_k_users (EAs)	#users_1_k (EAs)	#users_2_k (EAs)	#users_all_k (EAs)	p_0_k_virality_original (EAs)	p_1_k_virality_original (EAs)	p_2_k_virality_original (EAs)	p_0_k_virality_retweet (EAs)	p_1_k_virality_retweet (EAs)	p_2_k_virality_retweet (EAs)	p_0_k_virality_quoted (EAs)	p_1_k_virality_quoted (EAs)	p_2_k_virality_quoted (EAs)	p_0_k_virality_reply (EAs)	p_1_k_virality_reply (EAs)	p_2_k_virality_reply (EAs)	p_0_k_virality_total (EAs)	p_1_k_virality_total (EAs)	p_2_k_virality_total (EAs)
GA	0.4848484848484848	0.2689075630252101	0.5546218487394958	0.301255230125523	0.22085889570552147	0.7331288343558282	0.3333333333333333	0.23809523809523808	0.7142857142857143	0.7777777777777778	0.3888888888888889	0.5	0.38865546218487396	0.2489905787348587	0.6406460296096904	0.4880546075085324	0.2865731462925852	0.5871743486973948	143	293	499	1.2261147912957964	0.34742017253554647	0.2833504456531203	1.0077049494482273	0.4327027843107429	0.4293943227605173	1.2005549690821797	0.5367262585879115	0.4470651260543587	1.5409346598394205	0.5452987709389105	0.3538753362817705	1.1736545262087088	0.373364911283948	0.3181216473386251
HI	0.17241379310344826	0.13157894736842105	0.7631578947368421	0.14893617021276598	0.1206896551724138	0.8103448275862069	0.5	0.3333333333333333	0.6666666666666666	0.0	0.0	1.0	0.18072289156626503	0.14150943396226415	0.7830188679245284	0.2727272727272727	0.1935483870967742	0.7096774193548387	12	44	62	1.2939356889524005	0.4360812277514216	0.3370192440587853	0.4943461730841109	0.22015939762908815	0.44535471217581163	2.879837051855427	0.7422572168277588	0.2577427831722409	0.0	0.0	1.0	1.1488186615874465	0.408046503222572	0.3551879133463329
IA	0.41666666666666663	0.26595744680851063	0.6382978723404256	0.4339622641509434	0.2948717948717949	0.6794871794871795	0.8333333333333334	0.45454545454545453	0.5454545454545454	0.5	0.3333333333333333	0.6666666666666666	0.4471544715447154	0.291005291005291	0.6507936507936508	0.5285714285714286	0.3274336283185841	0.6194690265486725	37	70	113	2.454773171543541	0.5800103224255335	0.23627858131626386	1.6718930193083414	0.5461819963413085	0.32668477589987355	9.31697809844756	0.9030723928598362	0.09692760714016388	55.28313787577969	0.9822326892610883	0.017767310738911912	2.5656367141009087	0.6043986290076295	0.23557451672164448
ID	0.21428571428571427	0.13953488372093023	0.6511627906976745	0.0392156862745098	0.03508771929824561	0.8947368421052632	0.5	0.25	0.5	2.0	0.6666666666666666	0.3333333333333333	0.13414634146341464	0.102803738317757	0.7663551401869159	0.1875	0.13432835820895522	0.7164179104477612	9	48	67	0.5588237830704444	0.14454532231629028	0.2586599330509688	0.00019211747564541103	0.00011448042857589095	0.5958876369330718	5.103733616432276	0.12327128272681971	0.0241531576667576	0.0	0.0	1.0	0.41661210322285747	0.12466591189050649	0.2992373743492018
IL	0.7150537634408602	0.34366925064599485	0.4806201550387597	0.5095785440613027	0.3107476635514019	0.6098130841121495	0.8888888888888888	0.46153846153846156	0.5192307692307693	0.75	0.3333333333333333	0.4444444444444444	0.6152263374485597	0.3344519015659955	0.5436241610738255	0.6858974358974359	0.35313531353135313	0.5148514851485149	214	312	606	0.9032098576902773	0.27409869282525967	0.3034717684837888	1.2404862337610745	0.41397855017858304	0.33372280877589966	2.6745239374975607	0.7119292615114229	0.2661891529666192	0.5742444803841203	0.12451613960841451	0.21683471737529614	1.0422026314827986	0.3226650280035984	0.3095991300122945
IN	0.41333333333333333	0.22962962962962963	0.5555555555555556	0.27058823529411763	0.20175438596491227	0.7456140350877193	0.09090909090909091	0.08333333333333333	0.9166666666666666	0.2307692307692308	0.17647058823529413	0.7647058823529411	0.29285714285714287	0.20297029702970298	0.693069306930693	0.3439153439153439	0.22807017543859648	0.6631578947368421	65	189	285	0.8110539258616205	0.21761908227603907	0.26831641563765585	0.718652062062953	0.35828726244879	0.4985545597967052	0.20857456516995632	0.17257897955235008	0.8274210204476498	1.536863987640759	0.5820435641820529	0.378721584253886	0.7584397602873141	0.24930341417634	0.328705623346933
KS	0.35294117647058826	0.225	0.6375	0.2878787878787879	0.2087912087912088	0.7252747252747253	0.45454545454545453	0.3125	0.6875	0.5	0.2857142857142857	0.5714285714285714	0.3333333333333333	0.2268041237113402	0.6804123711340206	0.4431818181818181	0.2727272727272727	0.6153846153846154	39	88	143	0.5932411971215054	0.24034979004014378	0.4051468293273575	0.5475844879576537	0.3001615655962168	0.5481557133141968	1.093943847528612	0.5224322747812673	0.4775677252187326	2.6307704326729757	0.4997057058275238	0.18994652654652247	0.6310379043130137	0.2702372143527617	0.4282424439257075
KY	0.3448275862068965	0.21739130434782608	0.6304347826086957	0.4390243902439025	0.2903225806451613	0.6612903225806451	1.0	0.5	0.5	1.0	0.42857142857142855	0.42857142857142855	0.43999999999999995	0.27848101265822783	0.6329113924050633	0.5178571428571429	0.31016042780748665	0.5989304812834224	58	112	187	1.7404931259495586	0.5314078655694665	0.3053202897768108	0.9607016003327187	0.3935687583756877	0.409668057427388	2.220303186785706	0.6894702324602752	0.31052976753972467	1.1817753297881985	0.49568538620317953	0.41944130471230756	1.4826481372486504	0.5025465963543545	0.3389520303090456
LA	0.9375	0.39215686274509803	0.41830065359477125	0.14285714285714285	0.11842105263157894	0.8289473684210527	0.5833333333333334	0.3684210526315789	0.631578947368421	0.75	0.3333333333333333	0.4444444444444444	0.3605947955390335	0.2371638141809291	0.6577017114914425	0.3741935483870968	0.24267782426778242	0.6485355648535565	58	155	239	3.1150800248350734	0.5664862237170899	0.18185286387532926	0.714328119521376	0.30013390990744604	0.4201625299428866	0.5765219886474762	0.36569232322733647	0.6343076767726634	1.938317935701204	0.4867694823447639	0.251129844789199	2.1076078890046004	0.506478218066206	0.24030950951953872
MA	0.5727272727272729	0.31343283582089554	0.5472636815920398	0.4836956521739131	0.31338028169014087	0.647887323943662	0.5384615384615385	0.32558139534883723	0.6046511627906976	0.3333333333333333	0.25	0.75	0.5104477611940299	0.31204379562043794	0.6113138686131386	0.7198067632850241	0.38903394255874674	0.5404699738903395	149	207	383	1.921635056495878	0.4109637992943428	0.21386152272000059	0.9503200604846016	0.42512460406618113	0.44734886881099317	1.0857214194036007	0.45323176333150444	0.41744756549103534	0.4713752095017609	0.3203637022411018	0.6796362977588982	1.3895129251560456	0.41345843570782553	0.2975563798094164
