ID	Link	Leaning Label	Leaning Prob	#users (EAs)	#original_tweets (EAs)	#retweets (EAs)	#quoted_tweets (EAs)	#replies (EAs)	#total_tweets (EAs)	#users (All)	#original_tweets (All)	#retweets (All)	#quoted_tweets (All)	#replies (All)	#total_tweets (All)	#views by May 2018	#views first 120 days	#likes by May 2018	#dislikes by May 2018	#comments by May 2018	Polarity	Intensity	Hostility	Popularity	AVG(watch time in sec.) for first 120 days	AVG(watch percentage) for first 120 days	nw_size	nw_max_indegree	nw_density	nw_in_degree_centrality_gini	nw_closeness_centrality_gini	nw_betweenness_centrality_gini	nw_global_efficiency	nw_degree_assortativity (in-in)	nw_assortativity_leaning_probs_abs_nonreciprocal	nw_assortativity_leaning_probs_abs_reciprocal	nw_assortativity_leaning_labels	nw_assortativity_num_tweets	lang_p1	lang_p2	lang_p3	lang_sad	lang_anger	lang_anx	lang_posemo	lang_negemo	lang_negate	lang_wc	lang_dic_wc	temp_diff_wrt_first_tweet_mean	temp_diff_wrt_first_tweet_median	temp_diff_between_pairs_mean	temp_diff_between_pairs_median	temp_life_time	temp_diff_between_first_tweets_of_source_users_mean	temp_diff_between_first_tweets_of_source_users_median	temp_diff_between_max_indegree_user	cascade_mean	cascade_median	cascade_max(depth)	cascade_num_sources
PzKCS8Ygm1Y	https://www.youtube.com/watch?v=PzKCS8Ygm1Y	L	0.3062642758178129	22	5	16	1	0	22	134	97	40	5	2	144	88928	80204	3716	179	1162	0.2689649196683538	0.043799478229578984	-0.45404364569961486	640.0555168700952	398.1876953732698	0.39153165720085525	22	17	0.06926406926406926	0.8806818181818181	0.8674489032564315	0.9415584415584416	0.09199134199134198	-0.22280262292269534	0.1292791240765715	0.5000000000000006	0.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.8636363636363636	0.0	0.0	10.454545454545455	5.181818181818182	11.607168253968254	10.014416666666667	1.385597619047619	1.3547333333333333	29.09755	7.2743875	6.732041666666667	0.0002666666666666667	2.272727272727273	2.5	3	5
ETR9qrVS17g	https://www.youtube.com/watch?v=ETR9qrVS17g	L	0.5053901642135183	333	286	60	4	4	354	1986	1272	662	83	96	2113	4126903	3380460	92166	27412	28477	0.7766832100810525	0.028975238817098438	-0.2707605077857131	19801.413731978988	263.7431625702435	0.6940609541322197	333	54	0.0009045189768081334	0.9749549549549549	0.9733803496505069	0.9858477261792179	0.0014900442611285986	-0.2695010025186267	0.21135082684006926	0.07042253521126772	0.12416280267903149	0.07663341497861825	0.4887005649717514	0.03389830508474576	0.011299435028248588	0.002824858757062147	0.014124293785310734	0.002824858757062147	0.4378531073446328	0.03389830508474576	0.04519774011299435	10.129943502824858	6.234463276836158	453.2480440037772	403.8717	3.286449055712936	2.0225666666666666	1160.1165166666667	4.234001885644769	2.9230916666666666	346.4361333333333	1.1741741741741742	1.0	2	275
YCwbAi-CfY8	https://www.youtube.com/watch?v=YCwbAi-CfY8	N	0.5443346479635255	34	35	2	1	0	38	199	218	25	2	4	249	241516	122424	6691	158	941	0.15834192197088384	0.028358369631825635	-0.4769309388231859	730.5202776716451	722.5962515566155	0.45589668867925265	34	7	0.008021390374331552	0.9509803921568627	0.941753171856978	0.9705882352941176	0.0106951871657754	-0.6393522351043589	0.47747793767171837	-1.0	-0.04651162790697674	-0.3571428571428549	0.2894736842105263	0.02631578947368421	0.02631578947368421	0.0	0.0	0.0	0.7105263157894737	0.0	0.07894736842105263	11.157894736842104	7.2631578947368425	5262.354094144144	2562.7036166666667	355.7626382882883	121.83691666666667	13163.217616666667	501.59156538461536	196.4069	0.0	1.2058823529411764	1.0	2	27
QLr2NjnF0dk	https://www.youtube.com/watch?v=QLr2NjnF0dk	R	0.8149495793440874	48	46	3	1	0	50	360	325	30	4	20	379	360269	358410	19602	361	4806	0.13054006536292806	0.055411373168382516	-0.48191654560937736	1549.797657621857	799.4225062813845	0.49499845590178604	48	5	0.007978723404255319	0.8587962962962963	0.8433338074190772	0.9446428571428571	0.012522163120567375	-0.35336946851320344	0.5873784785714814	0.7237569060773487	nan	nan	0.42	0.02	0.06	0.0	0.86	0.04	0.48	0.9	0.04	9.3	7.78	42.85614863945578	43.93566666666667	1.5981091836734693	0.79835	78.30735	1.75074625	0.8373583333333333	65.72581666666666	1.1875	1.0	3	41
c2C07npNGug	https://www.youtube.com/watch?v=c2C07npNGug	L	0.4617747134712338	26	10	16	2	0	28	162	43	131	18	1	193	67768	54802	3818	4263	1329	0.9978114621755256	0.11924507142013929	0.02753372107412444	383.9120874101841	167.73425456074492	0.4738255778552116	26	18	0.05076923076923077	0.8822843822843823	0.7920766718957871	0.9010989010989011	0.10410256410256413	-0.4246562944229048	-0.20019928936793235	-0.3157894736842116	-0.05830903790087438	-0.0231869447880086	0.2857142857142857	0.03571428571428571	0.0	0.03571428571428571	0.0	0.0	0.8571428571428571	0.03571428571428571	0.03571428571428571	10.535714285714286	4.464285714285714	55.136503703703696	57.030633333333334	3.6430790123456793	2.62025	98.36313333333334	8.94210303030303	4.589266666666667	23.477483333333332	1.5384615384615385	2.0	2	12
UOmXC1u2_TE	https://www.youtube.com/watch?v=UOmXC1u2_TE	R	0.9266222528374771	27	7	20	0	1	28	228	53	172	7	8	240	170130	156523	3399	129	951	0.22631307131014466	0.02073708340680656	-0.46343537414965985	470.82076231550246	417.0877173389373	0.5583503578834502	27	1	0.005698005698005698	0.8518518518518519	0.8603988603988604	0.962962962962963	0.00641025641025641	nan	nan	nan	nan	nan	0.0	0.0	0.9642857142857143	0.0	0.0	0.0	0.0	0.0	0.0	9.535714285714286	3.857142857142857	490.15623209876543	545.4789666666667	21.696086419753087	2.56715	585.7943333333334	25.469318840579717	3.0259833333333335	15.685766666666666	1.1481481481481481	1.0	3	24
t2tKhN2uV6I	https://www.youtube.com/watch?v=t2tKhN2uV6I	R	0.8996109420052106	343	49	323	26	12	410	2655	223	3168	169	85	3645	88633	86802	5163	87	1761	0.12173094537689694	0.05923301704782643	-0.48342857142857143	578.2289284179453	276.1614679724579	0.4753209431539723	343	197	0.015813342881012053	0.7906076870486353	0.4575265275389686	0.9361493285996506	0.1894591921981587	-0.2501426289372972	0.05049895216808682	0.07994102186037633	2.0594637106791206e-13	-0.011916042835628525	0.18536585365853658	0.16585365853658537	0.5756097560975609	0.3048780487804878	0.5878048780487805	0.007317073170731708	0.35609756097560974	0.6073170731707317	0.06341463414634146	23.302439024390242	14.429268292682927	197.6116385085575	172.82345	1.0034471067644661	0.491	410.4098666666667	3.364015300546449	1.7568583333333332	245.46148333333332	1.836734693877551	2.0	4	123
H8LYhA3C0Rw	https://www.youtube.com/watch?v=H8LYhA3C0Rw	R	0.8674552177945775	34	32	6	0	0	38	269	218	77	4	5	304	422297	403711	16175	459	2804	0.18217894977174956	0.03938933973009517	-0.47240591559456535	1121.901130076158	207.4994683182773	0.5979811767097328	34	1	0.004456327985739751	0.8529411764705882	0.8529411764705882	0.0	0.004456327985739751	nan	-0.25000000000002776	-0.3333333333333333	nan	nan	0.2631578947368421	0.02631578947368421	0.05263157894736842	0.0	0.0	0.0	0.21052631578947367	0.0	0.0	10.973684210526315	5.131578947368421	601.6872315315316	363.6476	51.16405720720721	24.508383333333335	1893.0701166666668	63.102337222222225	30.070883333333335	407.1679833333333	1.088235294117647	1.0	2	31
S8COj0qN6bA	https://www.youtube.com/watch?v=S8COj0qN6bA	L	0.27517214771106624	182	157	58	11	7	233	1124	601	720	97	81	1499	152187	127216	8719	207	1691	0.15899869903351463	0.05865152739721527	-0.4768093210844723	416.50955166955475	234.40126739545934	0.7813375579848645	182	107	0.04395604395604396	0.7033194705846639	0.3900656897614551	0.8724279201683037	0.2301282051281864	-0.25063885361659793	0.06838371374487953	0.04921342124268055	-0.003696857670970471	-0.01798525878633409	0.12875536480686695	0.10300429184549356	0.04291845493562232	0.060085836909871244	0.06437768240343347	0.0	0.8197424892703863	0.12875536480686695	0.017167381974248927	11.197424892703863	6.253218884120171	151.81258477011494	152.57195000000002	1.3060497844827588	0.8146916666666666	303.00355	3.592313855421687	1.8196	278.3715833333333	1.6978021978021978	2.0	4	84
xH59HLUyaH0	https://www.youtube.com/watch?v=xH59HLUyaH0	R	0.930094003018627	27	5	22	1	0	28	169	49	121	6	2	178	5675	4250	447	5	78	0.08775372581478977	0.07964757709251101	-0.4889380530973451	22.07459395311866	164.1635288965725	0.7106646272578896	27	5	0.022792022792022793	0.8101851851851852	0.8008436978903728	0.8532235939643347	0.03454415954415954	-0.10034177340382662	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.571428571428571	3.642857142857143	8.625143209876544	9.231666666666667	0.6226864197530864	0.49921666666666664	16.812533333333334	0.8406266666666667	0.9229083333333333	0.8489	1.2222222222222223	1.0	2	21
