category,lexicon
cluster_2,sob
cluster_2,sobs
cluster_2,sobbing
cluster_4,solemn*
cluster_2,sorry
cluster_3,sorrow*
cluster_3,soulmate*
cluster_1,special
cluster_1,spite*
cluster_1,startl*
cluster_3,steal*
cluster_1,stench*
cluster_1,stink*
cluster_4,strain*
cluster_3,strange
cluster_1,strength*
cluster_2,stress*
cluster_3,strong*
cluster_1,struggl*
cluster_1,stubborn*
cluster_1,stunned
cluster_1,stuns
cluster_2,stupid*
cluster_1,stutter*
cluster_4,submissive*
cluster_3,succeed*
cluster_4,success*
cluster_2,suck
cluster_2,sucks
cluster_2,sucked
cluster_3,sucker*
cluster_1,sucky
cluster_4,suffered
cluster_4,suffering
cluster_4,suffers
cluster_4,suffer
cluster_4,sufferer*
cluster_1,sunny
cluster_3,sunshin*
cluster_2,super
cluster_1,superior*
cluster_4,supporter*
cluster_4,supports
cluster_4,supporting
cluster_4,support
cluster_4,supported
cluster_4,supportive*
cluster_4,suprem*
cluster_2,sweet
cluster_2,sweetly
cluster_2,sweets
cluster_2,sweetness*
cluster_2,sweetheart*
cluster_2,sweetie*
cluster_1,talent*
cluster_1,tantrum*
cluster_1,teas*
cluster_2,tears
cluster_1,tempers
cluster_1,temper
cluster_1,tense*
cluster_1,tensing
cluster_1,tender*
cluster_4,tension*
cluster_2,terribl*
cluster_1,terrific*
cluster_2,terrifying
cluster_2,terrify
cluster_2,terrifies
cluster_2,terrified
cluster_4,terror*
cluster_2,thanked
cluster_2,thanks
cluster_2,thank
cluster_1,thief
cluster_1,thieve*
cluster_2,thoughtful*
cluster_4,threat*
cluster_3,thrill*
cluster_4,ticked
cluster_1,tortur*
cluster_3,tough*
cluster_1,tragic*
cluster_1,tranquil*
cluster_1,trauma*
cluster_4,treasur*
cluster_1,trembl*
cluster_1,triumph*
cluster_3,troubl*
cluster_2,TRUE
cluster_1,truer
cluster_1,truest
cluster_3,truly
cluster_3,trust*
cluster_3,truth*
cluster_1,turmoil
cluster_2,ugh
cluster_1,unattractive
cluster_4,uncertain*
cluster_1,uncontrol*
cluster_3,unfortunate*
cluster_1,unfriendly
cluster_1,ungrateful*
cluster_1,unimpress*
cluster_1,unpleasant
cluster_1,unprotected
cluster_1,unsuccessful*
cluster_3,unsure*
cluster_1,unwelcom*
cluster_2,upset*
cluster_1,useful*
cluster_2,useless*
cluster_3,vain
cluster_4,value
